inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,Reward_N2_1,fixedAmount_N2_1,IP12_1,Reward_N2_2,fixedAmount_N2_2,IP12_2,Reward_N2_3,fixedAmount_N2_3,IP12_3,Reward_N3_1,fixedAmount_N3_1,IP13_1,Reward_N3_2,fixedAmount_N3_2,IP13_2,Reward_N3_3,fixedAmount_N3_3,IP13_3,Reward_N4_1,fixedAmount_N4_1,IP14_1,Reward_N4_2,fixedAmount_N4_2,IP14_2,Reward_N4_3,fixedAmount_N4_3,IP14_3,Reward_N5_1,fixedAmount_N5_1,IP15_1,Reward_N5_2,fixedAmount_N5_2,IP15_2,Reward_N5_3,fixedAmount_N5_3,IP15_3,Reward_N6_1,fixedAmount_N6_1,IP16_1,Reward_N6_2,fixedAmount_N6_2,IP16_2,Reward_N6_3,fixedAmount_N6_3,IP16_3,TotalWinAmount,finalN,finalReward,hitrate_N1,CRrate_N1,hitrate_N2,CRrate_N2,hitrate_N3,CRrate_N3,hitrate_N4,CRrate_N4,hitrate_N5,CRrate_N5,hitrate_N6,CRrate_N6,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4,mentaldemand_5,physicaldemand_5,temporaldemand_5,performance_5,effort_5,frustration_5,mentaldemand_6,physicaldemand_6,temporaldemand_6,performance_6,effort_6,frustration_6
6265,win,3/10/21,12:06:50,59,1,1125473,1,2,X,0.65625,3,X,1.546875,4,1,3.9375,2,X,1.03125,3,X,1.171875,4,X,0.0625,2,X,0.03125,3,X,1.171875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.0625,1,0.0625,0.8,0.733333333,0.8,1,1,0.866666667,0.2,0.733333333,0,0,0,0,17,9,18,5,15,21,15,9,16,8,15,20,17,6,19,19,17,21,21,4,12,1,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/10/21,12:18:48,57,1,1393599,1,2,X,1.96875,3,X,2.203125,4,X,3.9375,2,X,1.46875,3,X,2.953125,4,X,3.9375,2,X,0.96875,3,X,2.953125,4,1,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,3,3,0.4,0.333333333,0.4,0.733333333,0.2,0.466666667,0.6,0.6,0,0,0,0,18,7,17,11,10,11,16,15,16,16,17,16,14,16,15,15,15,9,17,16,16,16,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,3/10/21,11:25:59,49,1,868262,0,2,X,0.96875,3,X,1.921875,4,X,1.9375,2,X,0.46875,3,X,0.703125,4,X,0.4375,2,X,0.09375,3,X,0.328125,4,X,0.1875,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,3,2,1,1,1,1,1,0.866666667,0.6,1,0,0,0,0,3,3,3,21,4,4,7,3,3,21,9,5,15,4,14,14,12,13,19,4,17,5,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/10/21,12:36:02,9,1,845668,1,2,X,0.46875,3,X,2.953125,4,X,0.9375,2,X,0.59375,3,X,0.140625,4,X,1.1875,2,X,0.15625,3,X,0.234375,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,1,2,0.8,1,1,1,0.6,0.666666667,0.4,0.733333333,0,0,0,0,7,6,6,15,8,10,14,5,9,20,14,14,18,2,8,10,16,16,21,3,18,5,13,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/10/21,16:42:16,51,1,1104889,1,2,X,1.28125,3,X,1.546875,4,X,2.5625,2,X,0.09375,3,X,0.796875,4,X,0.4375,2,X,0.09375,3,X,0.328125,4,X,0.4375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,1,1,1,1,1,1,1,0.8,0.933333333,0.6,0.666666667,0,0,0,0,4,1,8,20,6,7,13,3,10,21,13,7,16,3,14,15,15,13,19,3,20,10,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,3/10/21,19:32:18,36,1,909965,0,2,1,1.84375,3,1,2.484375,4,1,3.9375,2,X,0.21875,3,X,1.078125,4,X,0.4375,2,X,0.09375,3,X,0.234375,4,X,0.4375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,1,2,1,0.933333333,1,0.933333333,0.8,0.866666667,0.6,0.733333333,0,0,0,0,8,2,11,19,8,8,14,8,11,16,15,13,16,8,13,15,16,14,18,7,12,14,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/10/21,22:41:19,27,1,963497,1,2,X,1.96875,3,X,2.953125,4,X,3.1875,2,X,0.96875,3,X,1.640625,4,X,1.9375,2,X,1.03125,3,X,1.171875,4,X,1.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,4,4,0.8,0.133333333,1,0.733333333,1,0.933333333,1,0.933333333,0,0,0,0,6,3,9,1,13,18,18,4,12,14,15,14,17,4,14,19,19,17,17,5,17,20,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/11/21,10:19:40,14,1,1256566,1,2,X,1.90625,3,1,2.953125,4,X,3.5625,2,X,0.84375,3,X,1.453125,4,X,0.4375,2,X,0.96875,3,X,0.703125,4,X,1.8125,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,3,3,1,0.933333333,1,0.933333333,0.4,0.866666667,0.4,0.8,0,0,0,0,7,3,11,15,8,12,14,4,9,15,14,13,15,9,16,8,15,17,19,8,18,5,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/16/21,14:06:48,52,1,1608803,1,2,X,1.96875,3,X,2.953125,4,1,2.9375,2,X,1.90625,3,1,2.953125,4,X,2.5625,2,1,1.96875,3,X,0.890625,4,X,1.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,1,3,0.2,0.666666667,0,0.533333333,0,0.933333333,0.6,1,0,0,0,0,14,1,16,2,14,14,21,1,14,1,8,16,19,1,8,13,15,15,21,1,8,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/16/21,14:38:07,44,1,715875,1,2,1,0.40625,3,X,0.046875,4,X,1.8125,2,X,0.96875,3,1,0.234375,4,X,0.3125,2,1,0.34375,3,1,0.890625,4,1,0.5625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.5,1,0.5,0.6,0.066666667,1,0.2,1,0.2,0.6,0.266666667,0,0,0,0,18,17,20,15,11,19,15,16,20,14,16,18,8,17,16,15,18,18,18,16,20,17,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/16/21,16:10:17,22,1,1238184,1,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,1.96875,3,1,2.953125,4,1,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,3,2,0.8,0.933333333,1,0.6,0.6,0.866666667,1,0.533333333,0,0,0,0,16,1,14,16,8,16,14,1,14,17,7,15,16,1,13,16,9,16,17,1,14,16,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/16/21,14:51:42,39,1,976892,1,2,X,1.21875,3,X,1.828125,4,X,1.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.75,1,0.75,0.6,0.466666667,0.8,0.733333333,0.6,0.866666667,0.8,0.733333333,0,0,0,0,10,3,8,8,16,13,13,5,9,15,17,9,17,6,8,15,16,13,17,6,10,17,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/16/21,19:56:52,17,1,814955,1,2,X,1.40625,3,X,2.015625,4,X,2.9375,2,X,0.96875,3,X,2.109375,4,X,2.9375,2,X,0.96875,3,X,2.109375,4,X,2.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2.0625,1,2.0625,0.6,0.866666667,0.8,1,0.6,0.8,0.8,0.733333333,0,0,0,0,5,5,4,8,7,13,13,9,9,10,13,9,8,6,9,7,10,8,9,8,8,13,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/18/21,00:44:36,30,1,1064905,1,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,1.5,1,1.5,0.8,0.866666667,1,0.466666667,0.4,0.333333333,0.2,0.2,0,0,0,0,12,14,10,18,18,6,14,14,9,9,9,12,14,14,7,8,9,12,15,15,8,7,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,08:17:02,56,1,1092743,1,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,0.09375,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,2,2,1,1,1,1,0.8,0.933333333,0.8,0.733333333,0,0,0,0,3,1,7,21,12,2,9,1,7,21,14,6,16,1,8,17,17,11,19,1,9,15,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,10:53:18,58,1,1026289,1,2,X,1.78125,3,X,1.734375,4,X,1.9375,2,X,0.59375,3,X,0.984375,4,X,1.9375,2,X,0.21875,3,X,0.515625,4,X,1.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,2,4,0.8,0.733333333,1,0.933333333,0.8,0.933333333,0.6,0.933333333,0,0,0,0,2,1,15,7,5,6,9,1,7,18,12,5,14,1,9,14,5,3,19,2,9,10,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,12:02:20,29,1,735829,1,2,X,0.96875,3,X,1.453125,4,X,0.4375,2,X,0.96875,3,X,0.515625,4,X,0.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,1,3,0.8,1,0.8,1,0.4,0.933333333,0,1,0,0,0,0,15,8,4,13,15,8,18,9,7,16,19,13,20,8,13,3,21,21,18,6,13,2,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,11:38:15,19,1,696682,1,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.53125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.09375,1,0.09375,1,0.933333333,1,0.933333333,0.4,0.8,0.4,0.933333333,0,0,0,0,1,1,1,21,1,1,1,1,1,21,1,1,21,1,21,1,21,17,21,1,16,1,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,11:08:59,23,1,885676,1,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,1,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,1,1,1,0.866666667,0,0.933333333,0.4,0.933333333,0,0,0,0,3,1,2,21,2,1,11,1,12,19,12,12,20,1,12,2,17,16,18,1,12,4,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,14:19:53,4,1,1125467,1,2,X,1.84375,3,X,2.765625,4,X,3.6875,2,X,0.96875,3,X,2.578125,4,X,3.0625,2,X,0.96875,3,X,1.453125,4,X,2.8125,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,4,4,1,1,0.8,1,1,0.933333333,0.8,1,0,0,0,0,3,1,2,21,4,6,8,3,3,17,11,9,14,4,3,18,13,14,18,5,3,17,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,15:50:48,60,1,1132748,1,2,X,1.46875,3,1,2.203125,4,1,3.9375,2,X,1.96875,3,1,2.765625,4,X,1.9375,2,X,1.71875,3,1,2.203125,4,X,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,2,2,0.6,0.466666667,0.8,0.6,1,0.4,0.8,0.533333333,0,0,0,0,6,7,7,10,7,8,9,9,9,16,7,7,16,13,14,13,14,5,15,13,10,16,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,18:35:14,13,1,791250,1,2,1,1.96875,3,X,2.953125,4,X,3.6875,2,1,0.96875,3,X,2.203125,4,1,3.4375,2,X,0.40625,3,X,0.984375,4,X,0.8125,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,0.6,0.8,1,0.8,1,1,0.6,0.866666667,0,0,0,0,6,1,6,5,5,15,4,1,6,19,11,9,11,4,4,21,14,8,21,5,5,13,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/25/21,15:40:26,41,1,983369,1,2,X,1.90625,3,X,2.390625,4,X,3.1875,2,X,1.15625,3,X,1.734375,4,X,2.3125,2,X,0.46875,3,X,1.546875,4,X,0.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2.5,1,2.5,1,0.6,1,1,0.8,0.866666667,1,0.866666667,0,0,0,0,1,1,1,16,5,2,6,2,1,21,9,1,16,3,2,15,13,8,15,2,4,16,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,3/26/21,22:44:38,62,1,1065947,0,2,X,0.15625,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.125,1,0.125,0.6,0.466666667,0.6,0.266666667,0.2,0.133333333,0,0.2,0,0,0,0,17,14,11,5,16,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,3/27/21,20:05:08,11,1,1657971,1,2,X,0.46875,3,X,0.796875,4,X,0.5625,2,X,0.40625,3,X,0.890625,4,X,0.4375,2,X,0.21875,3,X,0.421875,4,X,0.1875,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,0.6,0.466666667,1,0.6,0.8,0.6,1,0.6,0,0,0,0,21,21,21,2,21,21,19,17,15,11,15,21,20,18,16,15,17,17,20,20,20,7,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,10:26:31,71,1,1073333,1,2,X,0.96875,3,X,2.484375,4,X,1.6875,2,X,1.40625,3,X,2.390625,4,X,2.5625,2,X,0.46875,3,X,0.984375,4,X,1.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,2,3,0.6,0.933333333,1,0.933333333,1,0.933333333,0.4,0.8,0,0,0,0,4,4,8,18,12,7,6,5,7,19,13,8,13,10,10,19,15,9,17,12,12,12,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,10:34:03,42,1,1057955,1,2,X,0.40625,3,X,0.703125,4,X,0.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.5,1,0.5,0.8,1,1,0.933333333,0.6,0.866666667,0.4,1,0,0,0,0,7,3,2,17,6,2,14,4,15,13,13,6,19,5,19,3,19,14,21,5,21,1,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,08:34:54,24,1,833163,1,2,X,1.71875,3,X,1.453125,4,X,3.4375,2,X,0.96875,3,X,2.203125,4,1,3.9375,2,X,0.46875,3,X,1.453125,4,1,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,3,2,0.8,1,1,0.933333333,0.6,0.933333333,0.6,0.933333333,0,0,0,0,2,1,4,18,5,2,12,1,5,20,12,5,15,1,12,14,17,11,21,1,16,14,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6299,mac,4/6/21,10:43:18,50,1,854520,1,2,X,1.78125,3,X,2.390625,4,X,2.4375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,1,1,1,1,0.6,0.933333333,0.6,0.933333333,0,0,0,0,3,1,5,21,6,3,13,1,5,21,13,5,18,1,16,13,16,15,19,1,19,13,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,09:56:15,33,1,941555,1,2,X,1.28125,3,X,1.921875,4,X,2.6875,2,1,1.96875,3,X,2.671875,4,X,2.8125,2,X,1.28125,3,X,1.546875,4,X,0.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,4,3,1,0.933333333,1,0.933333333,0.8,1,1,0.933333333,0,0,0,0,14,3,1,20,5,1,17,1,8,19,5,1,20,1,5,15,18,2,21,1,7,20,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,10:46:07,72,1,1327576,1,2,X,1.65625,3,X,1.453125,4,X,2.3125,2,X,0.84375,3,X,1.359375,4,X,1.3125,2,X,0.46875,3,X,0.890625,4,X,0.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,1.5,1,1.5,1,0.866666667,0.8,1,0.6,1,0.6,0.866666667,0,0,0,0,4,2,4,17,6,3,4,3,4,16,4,3,5,3,7,14,7,6,12,9,12,12,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,4/6/21,12:15:02,64,1,858670,0,2,X,0.71875,3,X,0.703125,4,X,0.5625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,2,2,1,1,1,0.933333333,1,0.933333333,0.4,0.866666667,0,0,0,0,2,1,1,21,10,1,13,1,13,17,16,4,18,1,17,15,20,6,21,1,19,2,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,10:41:46,73,1,913714,1,2,1,1.96875,3,1,2.953125,4,X,3.9375,2,X,1.96875,3,1,2.953125,4,X,3.9375,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,2,4,0,0.333333333,0.8,0.533333333,1,0.8,1,0.466666667,0,0,0,0,21,21,21,1,20,11,20,20,14,13,14,13,20,18,13,16,16,12,19,18,16,16,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,4/6/21,11:30:07,66,1,1120626,1,2,X,1.46875,3,X,2.953125,4,X,2.9375,2,X,0.59375,3,X,0.984375,4,X,1.9375,2,X,0.40625,3,X,0.796875,4,X,1.1875,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,1,3,1,1,1,1,0.6,0.933333333,1,0.733333333,0,0,0,0,9,1,10,21,8,8,11,1,9,21,11,9,15,1,12,12,15,13,17,1,14,17,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,11:34:48,75,1,2649367,1,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,1.546875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.0625,1,0.0625,0.8,1,0,1,0.4,0.866666667,0.4,0.866666667,0,0,0,0,5,6,7,17,8,7,16,14,15,2,14,15,15,13,10,7,14,9,18,16,13,5,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,16:15:44,74,1,1404698,1,2,X,1.78125,3,1,2.953125,4,X,3.8125,2,X,1.03125,3,X,2.296875,4,X,2.0625,2,X,0.59375,3,X,1.078125,4,X,1.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,4,4,0.4,0.333333333,0,0,0.8,0.666666667,0.8,0.933333333,0,0,0,0,11,11,11,11,11,11,4,5,4,1,1,1,16,3,10,17,16,13,18,18,10,18,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6299,mac,4/6/21,13:16:59,20,1,819677,1,2,X,1.03125,3,X,1.453125,4,X,2.3125,2,X,0.46875,3,X,1.453125,4,X,0.9375,2,X,0.09375,3,X,0.703125,4,X,0.4375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,1,2,1,0.866666667,1,1,0.8,0.933333333,0.6,0.933333333,0,0,0,0,12,1,3,15,9,2,14,1,8,21,13,7,18,2,3,16,14,13,21,2,5,11,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6299,win,4/7/21,10:19:31,47,1,931507,1,2,X,0.96875,3,X,0.890625,4,1,3.9375,2,X,0.03125,3,X,0.796875,4,X,2.0625,2,X,0.09375,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,0.6,0.933333333,0.8,1,0.2,0.733333333,0.6,0.866666667,0,0,0,0,16,2,14,5,7,13,16,2,13,9,13,14,16,2,15,5,14,15,14,2,15,8,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/7/21,08:21:43,77,1,824773,1,2,X,1.96875,3,X,2.953125,4,X,2.9375,2,X,1.84375,3,X,2.953125,4,X,3.9375,2,1,1.96875,3,X,2.953125,4,X,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,1,2,1,1,1,1,0.6,0.933333333,0.8,0.933333333,0,0,0,0,21,1,1,21,11,1,21,1,12,21,21,1,21,21,21,21,21,1,21,21,21,21,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
