computer.platform,startdate,starttime,subjectid,elapsedtime,completed,BAS_Drive,BAS_Fun,BAS_Reward,BIS,BAS_totalscore
win,4/5/21,12:27:14,1,122964,1,15,16,18,28,49
win,4/5/21,12:18:48,2,214114,1,10,16,16,18,42
win,4/5/21,10:49:25,3,49425,1,13,13,18,11,44
win,3/23/21,22:45:18,4,156386,1,10,11,18,25,39
win,3/15/21,15:40:30,5,558272,1,11,8,15,27,34
win,4/5/21,10:24:45,6,412319,1,14,9,16,24,39
win,4/5/21,10:06:54,7,75394,1,7,10,19,31,36
ios,3/9/21,14:26:29,8,98443,1,10,12,18,27,40
win,3/9/21,15:21:49,9,73355,1,11,12,14,29,37
win,3/23/21,20:33:30,10,169923,1,16,10,20,32,46
mac,3/23/21,21:17:43,11,155083,1,13,13,20,29,46
win,3/23/21,20:47:11,12,101573,1,16,8,19,16,43
win,3/23/21,20:14:25,13,85326,1,13,16,19,28,48
win,3/9/21,13:22:56,14,92109,1,11,14,15,23,40
win,3/15/21,14:03:36,15,864219,1,12,11,15,22,38
win,3/15/21,15:22:13,16,194609,1,16,10,20,26,46
win,3/15/21,14:46:25,17,73055,1,13,11,14,23,38
and,3/23/21,20:04:32,18,132318,1,5,10,17,31,32
win,3/23/21,20:10:46,19,391784,1,13,12,20,19,45
mac,4/5/21,09:02:18,20,94344,1,11,9,15,20,35
mac,3/23/21,21:33:37,21,736551,1,11,10,17,22,38
win,3/15/21,15:50:12,22,135427,1,12,14,19,30,45
win,3/23/21,17:37:32,23,128793,1,12,10,17,19,39
win,4/5/21,10:19:44,24,89275,1,9,13,17,29,39
win,3/15/21,15:49:41,25,189714,1,12,13,18,27,43
win,4/5/21,11:03:02,26,157211,1,12,12,20,27,44
win,3/9/21,15:21:03,27,303533,1,14,13,19,21,46
win,3/23/21,18:54:16,28,99706,1,11,14,19,29,44
win,3/23/21,21:24:39,29,180048,1,10,16,18,30,44
win,3/15/21,14:37:45,30,177725,1,11,11,15,21,37
mac,3/23/21,17:41:37,31,113878,1,15,11,20,15,46
mac,3/9/21,16:27:00,32,213539,1,7,14,18,32,39
win,4/5/21,10:46:31,33,83624,1,6,10,13,8,29
win,3/15/21,14:32:31,34,113731,1,8,15,19,20,42
win,3/23/21,20:35:23,35,144130,1,9,7,17,23,33
mac,3/9/21,17:03:11,36,83992,1,14,16,15,22,45
win,3/15/21,13:36:17,37,66638,1,11,13,20,28,44
win,4/5/21,09:59:27,38,76228,1,12,13,15,19,40
win,3/15/21,14:18:16,39,69284,1,13,15,20,28,48
win,4/5/21,10:55:16,40,108682,1,11,8,17,20,36
win,3/23/21,20:21:01,41,78724,1,15,15,20,30,50
win,4/5/21,12:17:08,42,180624,1,14,14,12,23,40
win,4/5/21,07:47:24,43,155533,1,14,14,20,30,48
win,3/16/21,00:23:46,44,33575,1,8,9,7,17,24
mac,3/23/21,18:30:59,45,112818,1,14,12,19,28,45
win,3/15/21,14:01:25,46,62180,1,16,14,19,16,49
win,4/5/21,12:04:52,47,84340,1,5,12,13,32,30
win,4/5/21,12:27:59,48,176604,1,11,12,17,24,40
mac,3/9/21,19:34:39,49,56534,1,13,7,14,25,34
mac,4/5/21,12:18:23,50,90161,1,14,13,17,26,44
win,3/9/21,17:35:15,51,220631,1,5,12,16,28,33
win,3/15/21,13:59:25,52,122896,1,11,12,17,29,40
win,3/9/21,15:37:15,53,60706,0,0,0,0,0,0
win,3/15/21,12:55:58,54,84573,1,8,11,16,27,35
win,3/15/21,18:20:52,55,87737,1,6,7,8,20,21
win,3/23/21,18:12:20,56,168020,1,12,15,18,25,45
win,3/9/21,16:32:40,57,74837,1,13,12,16,18,41
win,3/23/21,20:23:13,58,137161,1,8,8,17,27,33
win,3/9/21,16:39:17,59,134121,1,14,11,16,22,41
win,3/23/21,17:20:23,60,188379,1,14,14,20,25,48
win,4/5/21,11:59:24,61,66372,1,12,15,19,30,46
mac,3/23/21,21:08:54,62,28404,1,10,11,14,22,35
and,4/5/21,17:31:35,63,183874,1,15,14,20,26,49
mac,4/5/21,12:27:05,64,117646,1,10,11,19,28,40
win,4/5/21,17:17:09,65,101764,1,16,15,20,22,51
mac,4/5/21,10:29:24,66,123815,1,8,8,17,23,33
win,4/5/21,09:30:31,67,269506,1,14,12,19,25,45
mac,4/5/21,12:21:53,68,86384,1,13,11,15,24,39
win,4/5/21,13:12:35,69,73919,1,7,7,17,11,31
and,4/5/21,13:14:12,70,515674,1,8,12,14,27,34
win,4/5/21,13:15:49,71,217860,1,11,13,20,26,44
win,4/5/21,12:30:57,72,228473,1,9,12,17,22,38
win,4/5/21,11:18:44,73,145178,1,8,11,13,16,32
win,4/5/21,14:10:22,74,164507,1,11,14,16,23,41
win,4/5/21,11:50:32,75,99805,1,11,11,17,24,39
win,4/5/21,20:52:54,76,99781,1,14,14,17,20,45
win,4/5/21,13:03:32,77,222652,1,16,13,20,11,49
mac,4/13/21,09:04:14,78,98636,1,14,12,19,27,45
win,4/13/21,10:36:24,79,495945,1,13,12,17,23,42
and,4/13/21,11:45:41,80,984038,1,13,10,17,24,40
win,4/13/21,11:02:30,81,134201,1,16,16,20,27,52
win,4/13/21,12:17:21,82,64768,1,8,9,15,27,32
win,4/13/21,10:22:32,83,88768,1,16,13,17,19,46
win,4/13/21,12:38:38,84,144097,1,13,9,19,25,41
win,4/13/21,12:39:06,85,244656,1,13,13,16,21,42
win,4/13/21,16:46:03,86,142228,1,15,15,18,26,48
win,4/13/21,12:53:25,87,97653,1,11,9,17,29,37
win,4/13/21,12:00:47,88,182280,1,13,12,17,18,42
win,4/13/21,10:04:25,89,106160,1,10,10,15,21,35
win,4/13/21,12:07:53,90,108114,1,13,11,17,27,41
win,4/13/21,13:08:44,91,80942,1,12,11,18,32,41
win,4/13/21,13:10:24,92,125610,1,10,10,15,23,35
win,4/13/21,13:11:54,93,237809,1,15,15,8,11,38
win,4/13/21,08:13:44,94,135394,1,13,13,18,20,44
win,4/13/21,13:14:45,95,324205,1,11,8,20,29,39
win,4/13/21,13:21:17,96,74165,1,11,12,19,9,42
win,4/13/21,10:17:41,97,340320,1,9,11,15,28,35
win,4/13/21,10:26:56,98,118363,1,14,6,18,31,38
win,4/13/21,13:29:03,99,118,0,0,0,0,0,0
win,4/13/21,12:29:05,100,139133,1,12,11,16,14,39
win,4/13/21,13:35:40,101,4870,0,0,0,0,0,0
win,4/13/21,13:36:09,102,137150,1,11,10,12,13,33
win,4/13/21,13:36:42,103,121504,1,15,13,18,17,46
win,4/13/21,18:36:56,104,86741,1,16,14,20,20,50
win,4/13/21,10:34:46,105,324366,1,11,11,15,24,37
mac,4/13/21,13:53:21,106,95359,1,12,10,15,22,37
win,4/13/21,10:52:31,107,170132,1,16,15,19,23,50
win,4/13/21,13:54:10,108,96307,1,9,10,20,31,39
and,4/13/21,19:08:05,109,67015,1,10,11,14,22,35
win,4/13/21,14:12:54,110,59454,1,13,12,18,23,43
win,4/13/21,12:32:43,111,175303,1,16,12,20,23,48
mac,4/13/21,10:28:00,112,114228,1,12,11,20,32,43
win,4/13/21,14:33:37,113,49467,1,13,14,19,27,46
win,4/13/21,13:52:59,114,359720,1,13,14,19,18,46
win,4/13/21,14:00:41,115,89409,1,9,6,18,24,33
win,4/13/21,14:07:33,116,158430,1,13,12,18,21,43
win,4/13/21,12:24:57,117,476471,1,13,11,19,19,43
mac,4/13/21,15:04:46,118,93451,1,12,14,16,26,42
win,4/13/21,14:59:47,119,62303,1,6,9,15,22,30
and,4/13/21,13:54:51,120,188395,1,9,11,13,18,33
mac,4/13/21,15:36:13,121,1829897,1,7,11,13,26,31
mac,4/13/21,17:43:32,122,70955,1,12,10,19,32,41
and,4/14/21,04:34:50,123,156137,1,9,12,14,21,35
win,4/26/21,10:12:10,124,102755,1,11,12,15,22,38
mac,4/26/21,13:22:17,125,489142,1,9,11,19,28,39
mac,4/26/21,13:33:58,126,83054,1,12,14,18,31,44
mac,4/26/21,13:35:20,127,77868,1,11,10,17,30,38
win,4/26/21,12:02:16,128,92450,1,13,13,16,20,42
mac,4/26/21,14:07:12,129,132702,1,13,12,19,31,44
win,4/26/21,14:18:54,130,69744,1,14,16,20,30,50
win,4/26/21,13:20:07,131,73431,1,12,13,17,18,42
win,4/26/21,14:20:56,132,73842,1,8,11,16,28,35
win,4/26/21,11:22:43,133,135407,1,8,10,16,30,34
win,4/26/21,14:20:03,134,387590,1,15,13,20,31,48
win,4/26/21,14:30:34,135,417601,1,11,14,15,25,40
win,4/26/21,11:37:00,136,85098,1,15,11,20,26,46
win,4/26/21,18:36:09,137,515524,1,14,14,18,27,46
win,4/26/21,13:45:07,138,25492,0,0,0,0,0,0
win,4/26/21,11:44:33,139,215330,1,13,14,19,23,46
win,4/26/21,13:46:44,140,108048,1,10,12,18,26,40
win,4/26/21,13:48:19,141,80572,1,12,11,18,31,41
mac,4/26/21,11:52:01,142,73221,1,8,9,18,31,35
win,4/26/21,14:53:37,143,131876,1,7,10,15,30,32
mac,4/26/21,11:54:40,144,97225,1,6,12,18,32,36
win,4/26/21,14:55:55,145,127796,1,16,13,20,21,49
win,4/26/21,14:56:23,146,255698,1,11,13,18,24,42
win,4/26/21,12:01:56,147,96943,1,14,15,20,26,49
win,4/26/21,15:01:55,148,107093,1,8,9,16,25,33
win,4/26/21,14:03:34,149,224699,1,12,12,18,30,42
win,4/26/21,12:05:29,150,177302,1,5,8,14,26,27
win,4/26/21,12:05:21,151,221026,1,12,13,19,24,44
win,4/26/21,15:13:16,152,44938,1,10,13,16,23,39
win,4/26/21,11:36:25,153,82736,1,14,16,18,24,48
win,4/26/21,15:16:49,154,76801,1,15,12,19,26,46
win,4/26/21,20:17:27,155,184024,1,13,13,18,24,44
win,4/26/21,15:19:02,156,186678,1,11,8,17,20,36
win,4/26/21,07:23:38,157,200182,1,15,10,19,27,44
win,4/26/21,20:25:09,158,244512,1,11,11,15,22,37
win,4/26/21,15:29:20,159,1179966,1,12,15,19,28,46
win,4/26/21,15:02:50,160,95118,1,8,10,17,24,35
win,4/26/21,15:52:10,161,73030,1,14,15,17,24,46
win,4/26/21,15:00:05,162,257390,1,15,16,20,26,51
win,4/26/21,15:56:51,163,99074,1,11,8,17,31,36
win,4/26/21,15:04:15,164,164982,1,7,9,15,30,31
win,4/26/21,13:46:03,165,665879,1,16,12,20,26,48
win,4/26/21,16:31:56,166,64611,1,7,6,8,16,21
and,4/27/21,03:01:15,167,26077,1,12,10,12,18,34
win,4/26/21,17:05:38,168,74260,1,11,10,18,29,39
ios,4/26/21,17:16:47,169,73526,1,13,13,17,24,43
win,4/26/21,22:23:11,170,137421,1,16,13,20,11,49
win,4/26/21,23:14:53,171,102763,1,7,10,20,23,37
win,5/12/21,13:12:53,172,78253,1,9,11,15,25,35
and,5/12/21,14:50:18,173,223452,1,15,16,19,22,50
win,5/12/21,16:05:11,174,23622,0,0,0,0,3,0
win,5/12/21,13:04:59,175,68615,1,14,12,20,30,46
win,5/12/21,13:03:14,176,497100,1,11,12,20,21,43
win,5/12/21,10:13:29,177,30471,1,8,7,6,14,21
win,5/12/21,16:27:05,178,115553,1,11,13,19,24,43
win,5/12/21,15:30:05,179,93750,1,10,12,15,14,37
win,5/12/21,15:38:10,180,216754,1,13,10,16,27,39
win,5/12/21,11:05:23,181,76410,1,12,16,17,23,45
win,5/12/21,14:07:10,182,120753,1,13,12,19,23,44
mac,5/12/21,17:14:23,183,49409,1,14,15,20,31,49
win,5/12/21,16:14:40,184,76166,1,13,13,16,14,42
win,5/12/21,17:15:35,185,398401,1,10,14,20,29,44
mac,5/12/21,15:24:40,186,114677,1,8,12,16,26,36
mac,5/12/21,16:25:30,187,113641,1,12,16,20,30,48
win,5/12/21,14:26:31,188,79329,1,13,13,18,21,44
win,5/12/21,16:36:54,189,131105,1,9,7,15,27,31
win,5/12/21,14:47:11,190,96942,1,8,10,18,24,36
win,5/12/21,16:58:28,191,91717,1,9,14,18,24,41
win,5/12/21,17:58:22,192,138998,1,6,5,13,25,24
win,5/12/21,17:00:36,193,2231,0,0,0,0,0,0
win,5/12/21,15:01:38,194,80841,1,4,11,15,32,30
win,5/12/21,15:05:24,195,150254,1,12,9,13,19,34
win,5/12/21,15:09:34,196,94047,1,8,10,17,28,35
and,5/12/21,15:14:12,197,83201,1,8,14,18,32,40
win,5/12/21,18:16:12,198,159072,1,14,13,17,18,44
win,5/12/21,15:20:08,199,63083,1,11,13,16,25,40
win,5/12/21,16:19:29,200,133843,1,13,13,15,18,41
win,5/12/21,18:21:38,201,267306,1,13,13,18,20,44
win,5/12/21,17:21:38,202,114010,1,8,11,15,28,34
win,5/12/21,18:23:27,203,60960,1,14,14,18,23,46
and,5/12/21,15:24:38,204,98993,1,12,13,16,21,41
mac,5/12/21,18:25:38,205,160174,1,13,11,20,31,44
win,5/12/21,17:28:35,206,153552,1,10,13,19,27,42
win,5/12/21,18:27:35,207,244211,1,14,12,19,18,45
and,5/12/21,18:31:06,208,85665,1,12,12,16,30,40
win,5/12/21,15:31:35,209,153389,1,8,10,17,24,35
win,5/12/21,17:28:23,210,646037,1,15,16,20,19,51
win,5/12/21,15:45:24,211,153070,1,11,14,18,28,43
win,5/12/21,18:02:16,212,86284,1,10,11,16,20,37
win,5/12/21,23:18:19,213,101388,1,12,13,19,31,44
mac,5/12/21,19:35:43,214,69301,1,12,11,15,21,38
win,5/12/21,18:47:28,215,157560,1,12,12,18,23,42
win,5/12/21,19:04:26,216,68343,1,16,16,16,25,48
mac,5/12/21,17:05:59,217,80810,1,8,10,15,23,33
win,5/12/21,19:12:45,218,200711,1,6,11,18,13,35
win,5/12/21,17:16:45,219,189506,1,11,13,19,20,43
mac,5/12/21,20:51:08,220,89468,1,8,13,13,31,34
win,5/13/21,14:39:23,221,38056,1,14,13,17,25,44